Date,SPY,TLT,MSFT
5-27-2008,114.197983,68.29818,22.570566
5-28-2008,114.725067,67.691261,22.364222
5-29-2008,115.301544,67.204216,22.467392
5-30-2008,115.589859,67.646317,22.475332
6-2-2008,114.39563,67.90728,22.062649
6-3-2008,113.728539,68.396088,21.673775
6-4-2008,113.670853,67.786926,21.856314
6-5-2008,115.943947,67.380859,22.459459
6-6-2008,112.246078,68.253174,21.816631
6-9-2008,112.517876,68.253174,21.991224
6-10-2008,111.957825,67.809525,22.134077
6-11-2008,110.310684,67.65152,21.522989
6-12-2008,110.730682,66.974724,22.411844
6-13-2008,112.130768,66.831879,23.070553
6-16-2008,112.196648,66.846886,22.95944
6-17-2008,111.653099,66.982246,22.85627
6-18-2008,110.565987,67.546295,22.586439
6-19-2008,110.705994,67.147713,22.95944
6-20-2008,108.909058,67.53875,22.403906
6-23-2008,108.801453,67.681648,22.197563
6-24-2008,108.586235,68.132843,22.007092
6-25-2008,109.099396,68.16291,22.499144
6-26-2008,106.136223,68.621658,22.022963
6-27-2008,105.556847,69.426338,21.927727
6-30-2008,105.929298,69.44136,21.832504
7-1-2008,106.260384,69.276802,21.324585
7-2-2008,104.439461,69.639099,20.538898
7-3-2008,104.547035,69.488121,20.618261
7-7-2008,103.479324,69.805138,20.657944
7-8-2008,105.316811,70.257996,20.515091
7-9-2008,103.288948,70.567413,20.023048
7-10-2008,103.71109,70.559875,20.197643
7-11-2008,102.502594,69.556137,20.038919
7-14-2008,101.575607,70.167419,19.959553
7-15-2008,100.143692,70.144753,20.753176
7-16-2008,102.601967,68.876808,21.634094
7-17-2008,103.628296,68.522095,21.840433
7-18-2008,104.273911,68.265472,20.523022
7-21-2008,104.331863,68.529633,20.348431
7-22-2008,105.515472,68.189995,20.475407
7-23-2008,106.086571,68.054138,20.975391
7-24-2008,103.884872,68.71833,20.189705
7-25-2008,103.860062,68.031548,20.761114
7-28-2008,102.33709,68.71833,20.237322
7-29-2008,104.522224,68.439079,20.72143
7-30-2008,106.38456,68.506996,20.816662
7-31-2008,104.97747,69.186264,20.411921
8-1-2008,104.422882,69.339249,20.189705
8-4-2008,103.454491,69.180222,20.062727
8-5-2008,106.243835,68.665138,20.800785
8-6-2008,106.715607,68.38485,21.443624
8-7-2008,105.126419,69.49836,21.737265
8-8-2008,107.079803,69.687721,22.324543
8-11-2008,108.188942,69.021126,22.142012
8-12-2008,107.063286,69.665009,22.316607
8-13-2008,106.417648,69.422577,22.149946
8-14-2008,107.220505,69.869499,22.149946
8-15-2008,107.742004,70.475487,22.070587
8-18-2008,106.268661,70.755745,21.975349
8-19-2008,105.109879,70.483101,21.76819
8-20-2008,105.598244,70.680008,21.744286
8-21-2008,105.780327,70.551224,21.656637
8-22-2008,107.311592,70.505806,22.182516
8-25-2008,105.134727,71.210236,22.039091
8-26-2008,105.440941,71.270805,21.728354
8-27-2008,106.467323,71.392052,21.959419
8-28-2008,107.758514,71.39962,22.26219
8-29-2008,106.599747,71.081413,21.744286
9-2-2008,105.937584,71.742874,21.592897
9-3-2008,105.846542,72.046951,21.433533
9-4-2008,102.659889,72.624748,20.995304
9-5-2008,102.982681,72.586731,20.437559
9-8-2008,105.109879,72.890785,20.812048
9-9-2008,101.989464,73.613052,20.796116
9-10-2008,102.403297,73.156891,21.067013
9-11-2008,103.884872,73.118866,21.784121
9-12-2008,104.364967,72.176193,22.007225
9-15-2008,99.39875,74.517693,21.369795
9-16-2008,101.062447,74.502533,20.708458
9-17-2008,96.518349,74.875,19.57703
9-18-2008,99.382195,73.780251,20.12681
9-19-2008,103.329048,71.438797,20.047127
9-22-2008,100.989746,71.43116,20.238356
9-23-2008,98.69207,71.157478,20.270222
9-24-2008,99.008415,71.469177,20.493336
9-25-2008,100.556839,71.324715,21.202467
9-26-2008,100.606773,71.841698,21.831934
9-29-2008,92.723091,73.932289,19.927612
9-30-2008,96.560883,72.130577,21.266214
10-1-2008,96.619141,73.038002,21.098886
10-2-2008,93.114334,73.625221,20.915625
10-3-2008,91.857285,74.273369,20.971401
10-6-2008,87.178673,75.623093,19.847931
10-7-2008,83.2743,75.394325,18.509333
10-8-2008,81.176384,74.31147,18.334036
10-9-2008,75.507133,73.686195,17.768326
10-10-2008,73.675644,73.167702,17.130898
10-13-2008,84.373177,72.229713,20.318041
10-14-2008,83.124435,71.76458,19.202541
10-15-2008,74.941002,72.45089,18.05517
10-16-2008,78.062881,72.077164,19.274246
10-17-2008,77.596672,71.581535,19.06708
10-20-2008,82.258636,72.153442,19.696541
10-21-2008,79.802788,72.534744,18.612917
10-22-2008,75.457184,74.00647,17.154797
10-23-2008,76.331284,74.555511,17.784258
10-24-2008,72.460197,73.762459,17.497412
10-27-2008,69.887802,73.81588,16.875921
10-28-2008,78.05455,72.740639,18.405754
10-29-2008,77.488464,72.374596,18.326069
10-30-2008,80.169075,71.718834,18.031258
10-31-2008,80.610291,70.788452,17.792225
11-3-2008,80.843414,70.979874,18.023296
11-4-2008,83.590637,72.312019,18.748367
11-5-2008,80.077507,73.169487,17.593031
11-6-2008,75.640327,72.641228,16.636883
11-7-2008,78.13781,72.166557,17.130898
11-10-2008,77.113831,72.518784,16.971535
11-11-2008,74.732903,72.733124,16.891863
11-12-2008,71.44455,73.200157,16.174747
11-13-2008,75.898392,71.446892,16.931694
11-14-2008,72.110542,72.863258,15.983516
11-17-2008,71.153198,73.18486,15.393902
11-18-2008,72.493492,74.126534,15.738839
11-19-2008,67.848167,76.025291,14.671938
11-20-2008,62.811588,79.952843,14.062274
